,dance_id,season,week,couple,dance,music,judge,judge_score,total_score,result,score_type,film,broadway_show,classical_music,television_show,team_captain,guest_judge,original_couple,dance_chosen_by,disney_film,tv_show,genre,elvis_music,cirque_du_soleil_show,trio_partner,james_bond_film,dance_&_theme,film_series,music_by_britney_spears,era,musical,music_from_grease,michael_buble_music,horror_film_show,music_by_queen,mentor,villain,music_by_janet_jackson,trio_dance_partner,icon,film_theme,dynamic_duo,professionals,cher_music,icons,stevie_wonder_music,motown_music,couple_list,couple_count,judge_score_count,judge_count
0,308,11,Week 4: Acoustic Week,Kurt & Anna,Rumba,"""Drops of Jupiter (Tell Me)""—Train",Carrie Ann Inaba,5,15,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kurt & Anna'],1,3,3
0,308,11,Week 4: Acoustic Week,Kurt & Anna,Rumba,"""Drops of Jupiter (Tell Me)""—Train",Len Goodman, 5,15,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kurt & Anna'],1,3,3
0,308,11,Week 4: Acoustic Week,Kurt & Anna,Rumba,"""Drops of Jupiter (Tell Me)""—Train",Bruno Tonioli, 5,15,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kurt & Anna'],1,3,3
1,331,11,Week 4: Acoustic Week,Brandy & Maks,Rumba,"""This Woman's Work""—Kate Bush",Carrie Ann Inaba,7,22,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Brandy & Maks'],1,3,3
1,331,11,Week 4: Acoustic Week,Brandy & Maks,Rumba,"""This Woman's Work""—Kate Bush",Len Goodman, 8,22,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Brandy & Maks'],1,3,3
1,331,11,Week 4: Acoustic Week,Brandy & Maks,Rumba,"""This Woman's Work""—Kate Bush",Bruno Tonioli, 7,22,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Brandy & Maks'],1,3,3
2,332,11,Week 4: Acoustic Week,Rick & Cheryl,Argentine tango,"""Violentango""—Astor Piazzolla",Carrie Ann Inaba,6,19,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Rick & Cheryl'],1,3,3
2,332,11,Week 4: Acoustic Week,Rick & Cheryl,Argentine tango,"""Violentango""—Astor Piazzolla",Len Goodman, 7,19,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Rick & Cheryl'],1,3,3
2,332,11,Week 4: Acoustic Week,Rick & Cheryl,Argentine tango,"""Violentango""—Astor Piazzolla",Bruno Tonioli, 6,19,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Rick & Cheryl'],1,3,3
3,333,11,Week 4: Acoustic Week,Kyle & Lacey,Rumba,"""Nothin' on You""—B.o.B feat. Bruno Mars",Carrie Ann Inaba,6,18,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kyle & Lacey'],1,3,3
3,333,11,Week 4: Acoustic Week,Kyle & Lacey,Rumba,"""Nothin' on You""—B.o.B feat. Bruno Mars",Len Goodman, 6,18,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kyle & Lacey'],1,3,3
3,333,11,Week 4: Acoustic Week,Kyle & Lacey,Rumba,"""Nothin' on You""—B.o.B feat. Bruno Mars",Bruno Tonioli, 6,18,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kyle & Lacey'],1,3,3
4,334,11,Week 4: Acoustic Week,The Situation & Karina,Argentine tango,"""Sweet Dreams (Are Made Of This)""—Tanghetto",Carrie Ann Inaba,4,12,Eliminated,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['The Situation & Karina'],1,3,3
4,334,11,Week 4: Acoustic Week,The Situation & Karina,Argentine tango,"""Sweet Dreams (Are Made Of This)""—Tanghetto",Len Goodman, 4,12,Eliminated,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['The Situation & Karina'],1,3,3
4,334,11,Week 4: Acoustic Week,The Situation & Karina,Argentine tango,"""Sweet Dreams (Are Made Of This)""—Tanghetto",Bruno Tonioli, 4,12,Eliminated,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['The Situation & Karina'],1,3,3
5,335,11,Week 4: Acoustic Week,Florence & Corky,Rumba,"""Yesterday""—The Beatles",Carrie Ann Inaba,6,17,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Florence & Corky'],1,3,3
5,335,11,Week 4: Acoustic Week,Florence & Corky,Rumba,"""Yesterday""—The Beatles",Len Goodman, 6,17,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Florence & Corky'],1,3,3
5,335,11,Week 4: Acoustic Week,Florence & Corky,Rumba,"""Yesterday""—The Beatles",Bruno Tonioli, 5,17,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Florence & Corky'],1,3,3
6,353,11,Week 4: Acoustic Week,Jennifer & Derek,Argentine tango,"""La Cumparsita""—Gerardo Matos Rodríguez",Carrie Ann Inaba,9,27,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jennifer & Derek'],1,3,3
6,353,11,Week 4: Acoustic Week,Jennifer & Derek,Argentine tango,"""La Cumparsita""—Gerardo Matos Rodríguez",Len Goodman, 9,27,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jennifer & Derek'],1,3,3
6,353,11,Week 4: Acoustic Week,Jennifer & Derek,Argentine tango,"""La Cumparsita""—Gerardo Matos Rodríguez",Bruno Tonioli, 9,27,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jennifer & Derek'],1,3,3
7,354,11,Week 4: Acoustic Week,Bristol & Mark,Rumba,"""Umbrella""—Rihanna feat. Jay-Z",Carrie Ann Inaba,6,18,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bristol & Mark'],1,3,3
7,354,11,Week 4: Acoustic Week,Bristol & Mark,Rumba,"""Umbrella""—Rihanna feat. Jay-Z",Len Goodman, 6,18,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bristol & Mark'],1,3,3
7,354,11,Week 4: Acoustic Week,Bristol & Mark,Rumba,"""Umbrella""—Rihanna feat. Jay-Z",Bruno Tonioli, 6,18,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bristol & Mark'],1,3,3
8,355,11,Week 4: Acoustic Week,Audrina & Tony,Argentine tango,"""Somebody to Love""—Jefferson Airplane",Carrie Ann Inaba,8,24,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Audrina & Tony'],1,3,3
8,355,11,Week 4: Acoustic Week,Audrina & Tony,Argentine tango,"""Somebody to Love""—Jefferson Airplane",Len Goodman, 8,24,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Audrina & Tony'],1,3,3
8,355,11,Week 4: Acoustic Week,Audrina & Tony,Argentine tango,"""Somebody to Love""—Jefferson Airplane",Bruno Tonioli, 8,24,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Audrina & Tony'],1,3,3
9,405,10,Week 4: Double-score Week,Erin & Maks,Tango,"""Sweet Dreams (Are Made of This)""—Eurythmics",Carrie Ann Inaba,6,18,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Erin & Maks'],1,3,3
9,405,10,Week 4: Double-score Week,Erin & Maks,Tango,"""Sweet Dreams (Are Made of This)""—Eurythmics",Len Goodman, 6,18,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Erin & Maks'],1,3,3
9,405,10,Week 4: Double-score Week,Erin & Maks,Tango,"""Sweet Dreams (Are Made of This)""—Eurythmics",Bruno Tonioli, 6,18,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Erin & Maks'],1,3,3
10,425,10,Week 4: Double-score Week,Evan & Anna,Tango,"""Wait a Minute""—The Pussycat Dolls feat. Timbaland",Carrie Ann Inaba,9,26,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Evan & Anna'],1,3,3
10,425,10,Week 4: Double-score Week,Evan & Anna,Tango,"""Wait a Minute""—The Pussycat Dolls feat. Timbaland",Len Goodman, 8,26,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Evan & Anna'],1,3,3
10,425,10,Week 4: Double-score Week,Evan & Anna,Tango,"""Wait a Minute""—The Pussycat Dolls feat. Timbaland",Bruno Tonioli, 9,26,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Evan & Anna'],1,3,3
11,426,10,Week 4: Double-score Week,Niecy & Louis,Rumba,"""Taking Chances""—Celine Dion",Carrie Ann Inaba,6,18,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Niecy & Louis'],1,3,3
11,426,10,Week 4: Double-score Week,Niecy & Louis,Rumba,"""Taking Chances""—Celine Dion",Len Goodman, 6,18,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Niecy & Louis'],1,3,3
11,426,10,Week 4: Double-score Week,Niecy & Louis,Rumba,"""Taking Chances""—Celine Dion",Bruno Tonioli, 6,18,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Niecy & Louis'],1,3,3
12,427,10,Week 4: Double-score Week,Aiden & Edyta,Rumba,"""Live Like We're Dying""—Kris Allen",Carrie Ann Inaba,5,15,Eliminated,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Aiden & Edyta'],1,3,3
12,427,10,Week 4: Double-score Week,Aiden & Edyta,Rumba,"""Live Like We're Dying""—Kris Allen",Len Goodman, 5,15,Eliminated,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Aiden & Edyta'],1,3,3
12,427,10,Week 4: Double-score Week,Aiden & Edyta,Rumba,"""Live Like We're Dying""—Kris Allen",Bruno Tonioli, 5,15,Eliminated,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Aiden & Edyta'],1,3,3
13,428,10,Week 4: Double-score Week,Nicole & Derek,Rumba,"""The First Time Ever I Saw Your Face""—Roberta Flack",Carrie Ann Inaba,9,25,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Nicole & Derek'],1,3,3
13,428,10,Week 4: Double-score Week,Nicole & Derek,Rumba,"""The First Time Ever I Saw Your Face""—Roberta Flack",Len Goodman, 8,25,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Nicole & Derek'],1,3,3
13,428,10,Week 4: Double-score Week,Nicole & Derek,Rumba,"""The First Time Ever I Saw Your Face""—Roberta Flack",Bruno Tonioli, 8,25,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Nicole & Derek'],1,3,3
14,451,10,Week 4: Double-score Week,Jake & Chelsie,Tango,"""A Girl Like You""—Edwyn Collins",Carrie Ann Inaba,6,19,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jake & Chelsie'],1,3,3
14,451,10,Week 4: Double-score Week,Jake & Chelsie,Tango,"""A Girl Like You""—Edwyn Collins",Len Goodman, 7,19,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jake & Chelsie'],1,3,3
14,451,10,Week 4: Double-score Week,Jake & Chelsie,Tango,"""A Girl Like You""—Edwyn Collins",Bruno Tonioli, 6,19,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jake & Chelsie'],1,3,3
15,452,10,Week 4: Double-score Week,Kate & Tony,Tango,"""For Your Entertainment""—Adam Lambert",Carrie Ann Inaba,4,14,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kate & Tony'],1,3,3
15,452,10,Week 4: Double-score Week,Kate & Tony,Tango,"""For Your Entertainment""—Adam Lambert",Len Goodman, 5,14,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kate & Tony'],1,3,3
15,452,10,Week 4: Double-score Week,Kate & Tony,Tango,"""For Your Entertainment""—Adam Lambert",Bruno Tonioli, 5,14,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kate & Tony'],1,3,3
16,453,10,Week 4: Double-score Week,Chad & Cheryl,Rumba,"""Try Sleeping with a Broken Heart""—Alicia Keys",Carrie Ann Inaba,7,21,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Chad & Cheryl'],1,3,3
16,453,10,Week 4: Double-score Week,Chad & Cheryl,Rumba,"""Try Sleeping with a Broken Heart""—Alicia Keys",Len Goodman, 6,21,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Chad & Cheryl'],1,3,3
16,453,10,Week 4: Double-score Week,Chad & Cheryl,Rumba,"""Try Sleeping with a Broken Heart""—Alicia Keys",Bruno Tonioli, 8,21,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Chad & Cheryl'],1,3,3
17,454,10,Week 4: Double-score Week,Pamela & Damian,Rumba,"""I Can't Make You Love Me""—Bonnie Raitt",Carrie Ann Inaba,7,23,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pamela & Damian'],1,3,3
17,454,10,Week 4: Double-score Week,Pamela & Damian,Rumba,"""I Can't Make You Love Me""—Bonnie Raitt",Len Goodman, 8,23,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pamela & Damian'],1,3,3
17,454,10,Week 4: Double-score Week,Pamela & Damian,Rumba,"""I Can't Make You Love Me""—Bonnie Raitt",Bruno Tonioli, 8,23,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pamela & Damian'],1,3,3
18,308,11,Week 4: Acoustic Week,Kurt & Anna,Rumba,"""Drops of Jupiter (Tell Me)""—Train",Carrie Ann Inaba,7,19,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kurt & Anna'],1,3,3
18,308,11,Week 4: Acoustic Week,Kurt & Anna,Rumba,"""Drops of Jupiter (Tell Me)""—Train",Len Goodman, 6,19,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kurt & Anna'],1,3,3
18,308,11,Week 4: Acoustic Week,Kurt & Anna,Rumba,"""Drops of Jupiter (Tell Me)""—Train",Bruno Tonioli, 6,19,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kurt & Anna'],1,3,3
19,331,11,Week 4: Acoustic Week,Brandy & Maks,Rumba,"""This Woman's Work""—Kate Bush",Carrie Ann Inaba,9,26,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Brandy & Maks'],1,3,3
19,331,11,Week 4: Acoustic Week,Brandy & Maks,Rumba,"""This Woman's Work""—Kate Bush",Len Goodman, 8,26,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Brandy & Maks'],1,3,3
19,331,11,Week 4: Acoustic Week,Brandy & Maks,Rumba,"""This Woman's Work""—Kate Bush",Bruno Tonioli, 9,26,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Brandy & Maks'],1,3,3
20,332,11,Week 4: Acoustic Week,Rick & Cheryl,Argentine tango,"""Violentango""—Astor Piazzolla",Carrie Ann Inaba,6,20,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Rick & Cheryl'],1,3,3
20,332,11,Week 4: Acoustic Week,Rick & Cheryl,Argentine tango,"""Violentango""—Astor Piazzolla",Len Goodman, 7,20,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Rick & Cheryl'],1,3,3
20,332,11,Week 4: Acoustic Week,Rick & Cheryl,Argentine tango,"""Violentango""—Astor Piazzolla",Bruno Tonioli, 7,20,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Rick & Cheryl'],1,3,3
21,333,11,Week 4: Acoustic Week,Kyle & Lacey,Rumba,"""Nothin' on You""—B.o.B feat. Bruno Mars",Carrie Ann Inaba,8,22,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kyle & Lacey'],1,3,3
21,333,11,Week 4: Acoustic Week,Kyle & Lacey,Rumba,"""Nothin' on You""—B.o.B feat. Bruno Mars",Len Goodman, 7,22,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kyle & Lacey'],1,3,3
21,333,11,Week 4: Acoustic Week,Kyle & Lacey,Rumba,"""Nothin' on You""—B.o.B feat. Bruno Mars",Bruno Tonioli, 7,22,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kyle & Lacey'],1,3,3
22,334,11,Week 4: Acoustic Week,The Situation & Karina,Argentine tango,"""Sweet Dreams (Are Made Of This)""—Tanghetto",Carrie Ann Inaba,6,16,Eliminated,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['The Situation & Karina'],1,3,3
22,334,11,Week 4: Acoustic Week,The Situation & Karina,Argentine tango,"""Sweet Dreams (Are Made Of This)""—Tanghetto",Len Goodman, 5,16,Eliminated,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['The Situation & Karina'],1,3,3
22,334,11,Week 4: Acoustic Week,The Situation & Karina,Argentine tango,"""Sweet Dreams (Are Made Of This)""—Tanghetto",Bruno Tonioli, 5,16,Eliminated,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['The Situation & Karina'],1,3,3
23,335,11,Week 4: Acoustic Week,Florence & Corky,Rumba,"""Yesterday""—The Beatles",Carrie Ann Inaba,6,18,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Florence & Corky'],1,3,3
23,335,11,Week 4: Acoustic Week,Florence & Corky,Rumba,"""Yesterday""—The Beatles",Len Goodman, 6,18,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Florence & Corky'],1,3,3
23,335,11,Week 4: Acoustic Week,Florence & Corky,Rumba,"""Yesterday""—The Beatles",Bruno Tonioli, 6,18,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Florence & Corky'],1,3,3
24,353,11,Week 4: Acoustic Week,Jennifer & Derek,Argentine tango,"""La Cumparsita""—Gerardo Matos Rodríguez",Carrie Ann Inaba,10,29,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jennifer & Derek'],1,3,3
24,353,11,Week 4: Acoustic Week,Jennifer & Derek,Argentine tango,"""La Cumparsita""—Gerardo Matos Rodríguez",Len Goodman, 9,29,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jennifer & Derek'],1,3,3
24,353,11,Week 4: Acoustic Week,Jennifer & Derek,Argentine tango,"""La Cumparsita""—Gerardo Matos Rodríguez",Bruno Tonioli, 10,29,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jennifer & Derek'],1,3,3
25,354,11,Week 4: Acoustic Week,Bristol & Mark,Rumba,"""Umbrella""—Rihanna feat. Jay-Z",Carrie Ann Inaba,4,14,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bristol & Mark'],1,3,3
25,354,11,Week 4: Acoustic Week,Bristol & Mark,Rumba,"""Umbrella""—Rihanna feat. Jay-Z",Len Goodman, 5,14,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bristol & Mark'],1,3,3
25,354,11,Week 4: Acoustic Week,Bristol & Mark,Rumba,"""Umbrella""—Rihanna feat. Jay-Z",Bruno Tonioli, 5,14,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bristol & Mark'],1,3,3
26,355,11,Week 4: Acoustic Week,Audrina & Tony,Argentine tango,"""Somebody to Love""—Jefferson Airplane",Carrie Ann Inaba,8,22,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Audrina & Tony'],1,3,3
26,355,11,Week 4: Acoustic Week,Audrina & Tony,Argentine tango,"""Somebody to Love""—Jefferson Airplane",Len Goodman, 7,22,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Audrina & Tony'],1,3,3
26,355,11,Week 4: Acoustic Week,Audrina & Tony,Argentine tango,"""Somebody to Love""—Jefferson Airplane",Bruno Tonioli, 7,22,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Audrina & Tony'],1,3,3
27,405,10,Week 4: Double-score Week,Erin & Maks,Tango,"""Sweet Dreams (Are Made of This)""—Eurythmics",Carrie Ann Inaba,7,21,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Erin & Maks'],1,3,3
27,405,10,Week 4: Double-score Week,Erin & Maks,Tango,"""Sweet Dreams (Are Made of This)""—Eurythmics",Len Goodman, 7,21,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Erin & Maks'],1,3,3
27,405,10,Week 4: Double-score Week,Erin & Maks,Tango,"""Sweet Dreams (Are Made of This)""—Eurythmics",Bruno Tonioli, 7,21,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Erin & Maks'],1,3,3
28,425,10,Week 4: Double-score Week,Evan & Anna,Tango,"""Wait a Minute""—The Pussycat Dolls feat. Timbaland",Carrie Ann Inaba,9,26,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Evan & Anna'],1,3,3
28,425,10,Week 4: Double-score Week,Evan & Anna,Tango,"""Wait a Minute""—The Pussycat Dolls feat. Timbaland",Len Goodman, 8,26,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Evan & Anna'],1,3,3
28,425,10,Week 4: Double-score Week,Evan & Anna,Tango,"""Wait a Minute""—The Pussycat Dolls feat. Timbaland",Bruno Tonioli, 9,26,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Evan & Anna'],1,3,3
29,426,10,Week 4: Double-score Week,Niecy & Louis,Rumba,"""Taking Chances""—Celine Dion",Carrie Ann Inaba,6,18,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Niecy & Louis'],1,3,3
29,426,10,Week 4: Double-score Week,Niecy & Louis,Rumba,"""Taking Chances""—Celine Dion",Len Goodman, 6,18,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Niecy & Louis'],1,3,3
29,426,10,Week 4: Double-score Week,Niecy & Louis,Rumba,"""Taking Chances""—Celine Dion",Bruno Tonioli, 6,18,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Niecy & Louis'],1,3,3
30,427,10,Week 4: Double-score Week,Aiden & Edyta,Rumba,"""Live Like We're Dying""—Kris Allen",Carrie Ann Inaba,6,18,Eliminated,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Aiden & Edyta'],1,3,3
30,427,10,Week 4: Double-score Week,Aiden & Edyta,Rumba,"""Live Like We're Dying""—Kris Allen",Len Goodman, 6,18,Eliminated,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Aiden & Edyta'],1,3,3
30,427,10,Week 4: Double-score Week,Aiden & Edyta,Rumba,"""Live Like We're Dying""—Kris Allen",Bruno Tonioli, 6,18,Eliminated,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Aiden & Edyta'],1,3,3
31,428,10,Week 4: Double-score Week,Nicole & Derek,Rumba,"""The First Time Ever I Saw Your Face""—Roberta Flack",Carrie Ann Inaba,8,25,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Nicole & Derek'],1,3,3
31,428,10,Week 4: Double-score Week,Nicole & Derek,Rumba,"""The First Time Ever I Saw Your Face""—Roberta Flack",Len Goodman, 8,25,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Nicole & Derek'],1,3,3
31,428,10,Week 4: Double-score Week,Nicole & Derek,Rumba,"""The First Time Ever I Saw Your Face""—Roberta Flack",Bruno Tonioli, 9,25,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Nicole & Derek'],1,3,3
32,451,10,Week 4: Double-score Week,Jake & Chelsie,Tango,"""A Girl Like You""—Edwyn Collins",Carrie Ann Inaba,7,19,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jake & Chelsie'],1,3,3
32,451,10,Week 4: Double-score Week,Jake & Chelsie,Tango,"""A Girl Like You""—Edwyn Collins",Len Goodman, 6,19,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jake & Chelsie'],1,3,3
32,451,10,Week 4: Double-score Week,Jake & Chelsie,Tango,"""A Girl Like You""—Edwyn Collins",Bruno Tonioli, 6,19,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jake & Chelsie'],1,3,3
33,452,10,Week 4: Double-score Week,Kate & Tony,Tango,"""For Your Entertainment""—Adam Lambert",Carrie Ann Inaba,6,18,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kate & Tony'],1,3,3
33,452,10,Week 4: Double-score Week,Kate & Tony,Tango,"""For Your Entertainment""—Adam Lambert",Len Goodman, 6,18,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kate & Tony'],1,3,3
33,452,10,Week 4: Double-score Week,Kate & Tony,Tango,"""For Your Entertainment""—Adam Lambert",Bruno Tonioli, 6,18,Safe,performance_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kate & Tony'],1,3,3
